assigned_analyst,asset_id,alert_id,alert_timestamp,source_system,alert_type,severity,status,time_to_triage_minutes,false_positive,asset_criticality,business_unit,region,analyst_shift,alert_date,alert_hour,is_business_hours,sla_target_minutes,sla_breached_calc
Analyst_10,AST-00559,ALT-101054,2026-04-16 00:00:00,EDR,Unsigned Binary Execution,High,Closed,114.3,False,Tier 3 - Standard,Asset Servicing,EMEA,Evening,2026-04-16,0,False,120,False
Analyst_08,AST-00643,ALT-102977,2026-04-16 01:23:00,EDR,Credential Dumping Indicator,Medium,Closed,76.5,True,Tier 3 - Standard,Asset Servicing,NA,Evening,2026-04-16,1,False,480,False
Analyst_12,AST-00111,ALT-102273,2026-04-16 01:46:00,Email Gateway,Phishing Attempt,Medium,Closed,495.7,True,Tier 1 - Critical,Retail Banking,NA,Night,2026-04-16,1,False,480,True
Analyst_12,AST-00632,ALT-105255,2026-04-16 02:00:00,Cloud Access Security (CASB),Unsanctioned App Access,Medium,Closed,467.4,True,Tier 3 - Standard,Technology,EMEA,Night,2026-04-16,2,False,480,False
Analyst_03,AST-00071,ALT-101731,2026-04-16 02:08:00,EDR,Ransomware Behavior Pattern,Low,Closed,627.7,True,Tier 1 - Critical,Global Markets,APAC,Night,2026-04-16,2,False,1440,False
Analyst_12,AST-00502,ALT-107051,2026-04-16 02:16:00,SIEM,Anomalous Login Pattern,Low,Closed,1369.6,True,Tier 2 - High,Asset Servicing,EMEA,Night,2026-04-16,2,False,1440,False
Analyst_11,AST-00480,ALT-100662,2026-04-16 03:20:00,Firewall,Blocked Outbound C2 Traffic,Medium,Closed,550.0,False,Tier 2 - High,Retail Banking,EMEA,Day,2026-04-16,3,False,480,True
Analyst_06,AST-00073,ALT-105077,2026-04-16 03:31:00,SIEM,Brute Force Attempt,Low,Closed,724.3,False,Tier 3 - Standard,Asset Servicing,NA,Night,2026-04-16,3,False,1440,False
Analyst_01,AST-00784,ALT-106858,2026-04-16 04:04:00,Firewall,Blocked Known-Bad IP,Low,Closed,11.3,True,Tier 2 - High,Retail Banking,NA,Evening,2026-04-16,4,False,1440,False
Analyst_05,AST-00455,ALT-103725,2026-04-16 04:10:00,Firewall,Unusual Outbound Data Volume,Medium,Closed,1708.6,False,Tier 2 - High,Asset Servicing,NA,Day,2026-04-16,4,False,480,True
Analyst_03,AST-00231,ALT-104809,2026-04-16 04:49:00,SIEM,Brute Force Attempt,Low,Closed,2131.4,True,Tier 3 - Standard,Corporate Functions,NA,Night,2026-04-16,4,False,1440,True
Analyst_05,AST-00789,ALT-102712,2026-04-16 05:09:00,Firewall,Unusual Outbound Data Volume,Medium,Closed,853.0,False,Tier 3 - Standard,Corporate Functions,APAC,Day,2026-04-16,5,False,480,True
Analyst_13,AST-00253,ALT-109930,2026-04-16 06:09:00,Firewall,Blocked Outbound C2 Traffic,High,Closed,99.6,False,Tier 2 - High,Global Markets,NA,Evening,2026-04-16,6,False,120,False
Analyst_07,AST-00575,ALT-109217,2026-04-16 06:12:00,SIEM,Privilege Escalation Attempt,Low,Closed,4139.2,False,Tier 2 - High,Retail Banking,APAC,Evening,2026-04-16,6,False,1440,True
Analyst_09,AST-00294,ALT-111662,2026-04-16 06:28:00,SIEM,Anomalous Login Pattern,Medium,Closed,568.4,False,Tier 3 - Standard,Corporate Functions,EMEA,Day,2026-04-16,6,False,480,True
Analyst_09,AST-00737,ALT-100598,2026-04-16 06:31:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Medium,Closed,655.8,False,Tier 2 - High,Fund Services,APAC,Day,2026-04-16,6,False,480,True
Analyst_01,AST-00379,ALT-104601,2026-04-16 06:36:00,SIEM,Privilege Escalation Attempt,Medium,Closed,303.7,False,Tier 3 - Standard,Global Markets,APAC,Evening,2026-04-16,6,False,480,False
Analyst_07,AST-00068,ALT-106337,2026-04-16 06:55:00,SIEM,Privilege Escalation Attempt,Medium,Closed,701.3,False,Tier 3 - Standard,Fund Services,NA,Evening,2026-04-16,6,False,480,True
Analyst_03,AST-00175,ALT-110903,2026-04-16 07:31:00,EDR,Unsigned Binary Execution,High,Closed,70.4,False,Tier 3 - Standard,Global Markets,APAC,Night,2026-04-16,7,False,120,False
Analyst_09,AST-00444,ALT-102385,2026-04-16 07:48:00,Firewall,Blocked Outbound C2 Traffic,High,Closed,85.0,False,Tier 3 - Standard,Corporate Functions,APAC,Day,2026-04-16,7,False,120,False
Analyst_11,AST-00067,ALT-103038,2026-04-16 07:50:00,EDR,Ransomware Behavior Pattern,Medium,Closed,177.3,False,Tier 3 - Standard,Retail Banking,NA,Day,2026-04-16,7,False,480,False
Analyst_09,AST-00465,ALT-103334,2026-04-16 08:04:00,Email Gateway,Business Email Compromise Indicator,Critical,Closed,22.2,False,Tier 3 - Standard,Fund Services,APAC,Day,2026-04-16,8,True,30,False
Analyst_04,AST-00409,ALT-107997,2026-04-16 08:12:00,Email Gateway,Malicious Attachment,Medium,Closed,539.8,False,Tier 1 - Critical,Corporate Functions,APAC,Evening,2026-04-16,8,True,480,True
Analyst_10,AST-00432,ALT-111071,2026-04-16 08:18:00,SIEM,Brute Force Attempt,High,Closed,36.6,False,Tier 3 - Standard,Global Markets,EMEA,Evening,2026-04-16,8,True,120,False
Analyst_05,AST-00466,ALT-101141,2026-04-16 08:24:00,IDS/IPS,Protocol Anomaly,Low,Closed,655.1,False,Tier 3 - Standard,Asset Servicing,EMEA,Day,2026-04-16,8,True,1440,False
Analyst_04,AST-00377,ALT-108310,2026-04-16 08:52:00,Cloud Access Security (CASB),Impossible Travel Login,Low,Closed,1484.9,True,Tier 3 - Standard,Fund Services,NA,Evening,2026-04-16,8,True,1440,True
Analyst_12,AST-00231,ALT-106819,2026-04-16 08:58:00,EDR,Credential Dumping Indicator,Low,Closed,3998.7,False,Tier 3 - Standard,Corporate Functions,NA,Night,2026-04-16,8,True,1440,True
Analyst_09,AST-00567,ALT-106758,2026-04-16 09:15:00,SIEM,Lateral Movement Indicator,Low,Closed,1773.5,False,Tier 3 - Standard,Corporate Functions,NA,Day,2026-04-16,9,True,1440,True
