alert_date,source_system,alert_count
2026-04-16,Cloud Access Security (CASB),10
2026-04-16,EDR,27
2026-04-16,Email Gateway,21
2026-04-16,Firewall,23
2026-04-16,IDS/IPS,6
2026-04-16,SIEM,37
2026-04-17,Cloud Access Security (CASB),10
2026-04-17,EDR,30
2026-04-17,Email Gateway,23
2026-04-17,Firewall,20
2026-04-17,IDS/IPS,4
2026-04-17,SIEM,50
2026-04-18,Cloud Access Security (CASB),13
2026-04-18,EDR,29
2026-04-18,Email Gateway,31
2026-04-18,Firewall,20
2026-04-18,IDS/IPS,10
2026-04-18,SIEM,40
2026-04-19,Cloud Access Security (CASB),10
2026-04-19,EDR,28
2026-04-19,Email Gateway,20
2026-04-19,Firewall,104
2026-04-19,IDS/IPS,19
2026-04-19,SIEM,54
2026-04-20,Cloud Access Security (CASB),13
2026-04-20,EDR,39
2026-04-20,Email Gateway,24
2026-04-20,Firewall,22
2026-04-20,IDS/IPS,4
2026-04-20,SIEM,33
2026-04-21,Cloud Access Security (CASB),13
2026-04-21,EDR,37
2026-04-21,Email Gateway,15
2026-04-21,Firewall,20
2026-04-21,IDS/IPS,8
2026-04-21,SIEM,32
2026-04-22,Cloud Access Security (CASB),17
2026-04-22,EDR,24
2026-04-22,Email Gateway,23
2026-04-22,Firewall,21
2026-04-22,IDS/IPS,7
2026-04-22,SIEM,54
2026-04-23,Cloud Access Security (CASB),18
2026-04-23,EDR,24
2026-04-23,Email Gateway,26
2026-04-23,Firewall,16
2026-04-23,IDS/IPS,7
2026-04-23,SIEM,41
2026-04-24,Cloud Access Security (CASB),9
2026-04-24,EDR,24
2026-04-24,Email Gateway,33
2026-04-24,Firewall,22
2026-04-24,IDS/IPS,6
2026-04-24,SIEM,30
2026-04-25,Cloud Access Security (CASB),9
2026-04-25,EDR,41
2026-04-25,Email Gateway,15
2026-04-25,Firewall,18
2026-04-25,IDS/IPS,12
2026-04-25,SIEM,44
2026-04-26,Cloud Access Security (CASB),5
2026-04-26,EDR,30
2026-04-26,Email Gateway,19
2026-04-26,Firewall,21
2026-04-26,IDS/IPS,5
2026-04-26,SIEM,37
2026-04-27,Cloud Access Security (CASB),14
2026-04-27,EDR,39
2026-04-27,Email Gateway,17
2026-04-27,Firewall,25
2026-04-27,IDS/IPS,6
2026-04-27,SIEM,49
2026-04-28,Cloud Access Security (CASB),12
2026-04-28,EDR,21
2026-04-28,Email Gateway,22
2026-04-28,Firewall,21
2026-04-28,IDS/IPS,8
2026-04-28,SIEM,52
2026-04-29,Cloud Access Security (CASB),15
2026-04-29,EDR,30
2026-04-29,Email Gateway,23
2026-04-29,Firewall,17
2026-04-29,IDS/IPS,6
2026-04-29,SIEM,44
2026-04-30,Cloud Access Security (CASB),10
2026-04-30,EDR,32
2026-04-30,Email Gateway,21
2026-04-30,Firewall,25
2026-04-30,IDS/IPS,4
2026-04-30,SIEM,41
2026-05-01,Cloud Access Security (CASB),10
2026-05-01,EDR,29
2026-05-01,Email Gateway,24
2026-05-01,Firewall,15
2026-05-01,IDS/IPS,7
2026-05-01,SIEM,32
2026-05-02,Cloud Access Security (CASB),9
2026-05-02,EDR,19
2026-05-02,Email Gateway,28
2026-05-02,Firewall,22
2026-05-02,IDS/IPS,7
2026-05-02,SIEM,44
2026-05-03,Cloud Access Security (CASB),6
2026-05-03,EDR,27
2026-05-03,Email Gateway,24
2026-05-03,Firewall,23
2026-05-03,IDS/IPS,9
2026-05-03,SIEM,41
2026-05-04,Cloud Access Security (CASB),10
2026-05-04,EDR,22
