alert_id,alert_timestamp,source_system,alert_type,severity,assigned_analyst,asset_id,status,time_to_triage_minutes,false_positive
ALT-101054,2026-04-16 00:00:00,EDR,Unsigned Binary Execution,High,Analyst_10,AST-00559,Closed,114.3,False
ALT-102977,2026-04-16 01:23:00,EDR,Credential Dumping Indicator,Medium,Analyst_08,AST-00643,Closed,76.5,True
ALT-102273,2026-04-16 01:46:00,Email Gateway,Phishing Attempt,Medium,Analyst_12,AST-00111,Closed,495.7,True
ALT-105255,2026-04-16 02:00:00,Cloud Access Security (CASB),Unsanctioned App Access,Medium,Analyst_12,AST-00632,Closed,467.4,True
ALT-101731,2026-04-16 02:08:00,EDR,Ransomware Behavior Pattern,Low,Analyst_03,AST-00071,Closed,627.7,True
ALT-107051,2026-04-16 02:16:00,SIEM,Anomalous Login Pattern,Low,Analyst_12,AST-00502,Closed,1369.6,True
ALT-100662,2026-04-16 03:20:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_11,AST-00480,Closed,550.0,False
ALT-105077,2026-04-16 03:31:00,SIEM,Brute Force Attempt,Low,Analyst_06,AST-00073,Closed,724.3,False
ALT-106858,2026-04-16 04:04:00,Firewall,Blocked Known-Bad IP,Low,Analyst_01,AST-00784,Closed,11.3,True
ALT-103725,2026-04-16 04:10:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_05,AST-00455,Closed,1708.6,False
ALT-104809,2026-04-16 04:49:00,SIEM,Brute Force Attempt,Low,Analyst_03,AST-00231,Closed,2131.4,True
ALT-102712,2026-04-16 05:09:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_05,AST-00789,Closed,853.0,False
ALT-109930,2026-04-16 06:09:00,Firewall,Blocked Outbound C2 Traffic,High,Analyst_13,AST-00253,Closed,99.6,False
ALT-109217,2026-04-16 06:12:00,SIEM,Privilege Escalation Attempt,Low,Analyst_07,AST-00575,Closed,4139.2,False
ALT-111662,2026-04-16 06:28:00,SIEM,Anomalous Login Pattern,Medium,Analyst_09,AST-00294,Closed,568.4,False
ALT-100598,2026-04-16 06:31:00,Cloud Access Security (CASB),Anomalous Data Download Volume,Medium,Analyst_09,AST-00737,Closed,655.8,False
ALT-104601,2026-04-16 06:36:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_01,AST-00379,Closed,303.7,False
ALT-106337,2026-04-16 06:55:00,SIEM,Privilege Escalation Attempt,Medium,Analyst_07,AST-00068,Closed,701.3,False
ALT-110903,2026-04-16 07:31:00,EDR,Unsigned Binary Execution,High,Analyst_03,AST-00175,Closed,70.4,False
ALT-102385,2026-04-16 07:48:00,Firewall,Blocked Outbound C2 Traffic,High,Analyst_09,AST-00444,Closed,85.0,False
ALT-103038,2026-04-16 07:50:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_11,AST-00067,Closed,177.3,False
ALT-103334,2026-04-16 08:04:00,Email Gateway,Business Email Compromise Indicator,Critical,Analyst_09,AST-00465,Closed,22.2,False
ALT-107997,2026-04-16 08:12:00,Email Gateway,Malicious Attachment,Medium,Analyst_04,AST-00409,Closed,539.8,False
ALT-111071,2026-04-16 08:18:00,SIEM,Brute Force Attempt,High,Analyst_10,AST-00432,Closed,36.6,False
ALT-101141,2026-04-16 08:24:00,IDS/IPS,Protocol Anomaly,Low,Analyst_05,AST-00466,Closed,655.1,False
ALT-108310,2026-04-16 08:52:00,Cloud Access Security (CASB),Impossible Travel Login,Low,Analyst_04,AST-00377,Closed,1484.9,True
ALT-106819,2026-04-16 08:58:00,EDR,Credential Dumping Indicator,Low,Analyst_12,AST-00231,Closed,3998.7,False
ALT-106758,2026-04-16 09:15:00,SIEM,Lateral Movement Indicator,Low,Analyst_09,AST-00567,Closed,1773.5,False
ALT-108940,2026-04-16 09:20:00,Cloud Access Security (CASB),Impossible Travel Login,Low,Analyst_03,AST-00489,Closed,888.7,False
ALT-102329,2026-04-16 09:25:00,Firewall,Port Scan Detected,Low,Analyst_12,AST-00124,Closed,1008.7,False
ALT-111503,2026-04-16 09:33:00,SIEM,Privilege Escalation Attempt,Low,Analyst_05,AST-00487,Closed,362.5,False
ALT-106427,2026-04-16 09:36:00,SIEM,Anomalous Login Pattern,Low,Analyst_11,AST-00637,Closed,842.5,True
ALT-108777,2026-04-16 09:43:00,Email Gateway,Spoofed Sender Domain,Medium,Analyst_03,AST-00145,Closed,260.5,True
ALT-102028,2026-04-16 09:52:00,EDR,Suspicious Process Execution,High,Analyst_12,AST-00484,Closed,307.6,False
ALT-102200,2026-04-16 10:05:00,SIEM,Privilege Escalation Attempt,Critical,Analyst_01,AST-00338,Closed,52.8,False
ALT-101268,2026-04-16 10:05:00,Email Gateway,Phishing Attempt,Medium,Analyst_05,AST-00453,Closed,240.8,False
ALT-105521,2026-04-16 10:09:00,Firewall,Blocked Outbound C2 Traffic,Medium,Analyst_06,AST-00440,Closed,199.2,False
ALT-102849,2026-04-16 10:14:00,Firewall,Blocked Known-Bad IP,Medium,Analyst_11,AST-00543,Closed,660.1,False
ALT-108186,2026-04-16 10:55:00,Firewall,Blocked Outbound C2 Traffic,Low,Analyst_01,AST-00006,Closed,494.0,True
ALT-111468,2026-04-16 11:00:00,Email Gateway,Phishing Attempt,Low,Analyst_13,AST-00622,Closed,1050.0,False
ALT-103960,2026-04-16 11:04:00,Cloud Access Security (CASB),Impossible Travel Login,Low,Analyst_11,AST-00500,Open,649.5,True
ALT-109949,2026-04-16 11:11:00,Email Gateway,Spoofed Sender Domain,Medium,Analyst_12,AST-00566,Closed,313.9,False
ALT-107122,2026-04-16 11:26:00,SIEM,Brute Force Attempt,Medium,Analyst_08,AST-00355,Closed,123.3,False
ALT-105096,2026-04-16 11:27:00,SIEM,Anomalous Login Pattern,High,Analyst_14,AST-00196,Closed,49.4,False
ALT-108227,2026-04-16 11:42:00,SIEM,Lateral Movement Indicator,High,Analyst_09,AST-00226,Closed,66.0,True
ALT-100026,2026-04-16 11:45:00,EDR,Ransomware Behavior Pattern,Medium,Analyst_01,AST-00215,Closed,191.3,False
ALT-102897,2026-04-16 11:50:00,IDS/IPS,Protocol Anomaly,Medium,Analyst_10,AST-00235,Closed,1860.8,True
ALT-101690,2026-04-16 11:51:00,EDR,Suspicious Process Execution,High,Analyst_05,AST-00232,Closed,73.7,False
ALT-109997,2026-04-16 11:52:00,SIEM,Anomalous Login Pattern,Low,Analyst_06,AST-00305,Closed,1554.8,False
ALT-106327,2026-04-16 11:57:00,EDR,Suspicious Process Execution,Medium,Analyst_09,AST-00734,Closed,484.3,False
ALT-105352,2026-04-16 11:59:00,SIEM,Lateral Movement Indicator,Medium,Analyst_11,AST-00761,Closed,393.4,True
ALT-111243,2026-04-16 12:04:00,EDR,Credential Dumping Indicator,Medium,Analyst_04,AST-00072,Closed,699.4,False
ALT-111446,2026-04-16 12:07:00,Firewall,Unusual Outbound Data Volume,Medium,Analyst_10,AST-00247,Closed,282.6,False
ALT-102047,2026-04-16 12:07:00,Email Gateway,Business Email Compromise Indicator,Medium,Analyst_14,AST-00481,Closed,354.6,True
ALT-110323,2026-04-16 12:22:00,EDR,Ransomware Behavior Pattern,High,Analyst_02,AST-00632,Closed,41.5,False
ALT-107464,2026-04-16 12:23:00,Firewall,Port Scan Detected,Critical,Analyst_03,AST-00050,Closed,102.6,False
ALT-108294,2026-04-16 12:29:00,SIEM,Lateral Movement Indicator,Medium,Analyst_11,AST-00175,Closed,2171.4,True
ALT-106283,2026-04-16 12:33:00,SIEM,Lateral Movement Indicator,Medium,Analyst_13,AST-00523,Open,791.6,False
ALT-111464,2026-04-16 12:36:00,Firewall,Unusual Outbound Data Volume,High,Analyst_09,AST-00470,Closed,49.1,False
ALT-106873,2026-04-16 12:38:00,EDR,Unsigned Binary Execution,Medium,Analyst_12,AST-00234,Closed,204.6,False
ALT-107362,2026-04-16 12:42:00,Email Gateway,Phishing Attempt,Low,Analyst_01,AST-00713,Closed,1357.2,True
ALT-104842,2026-04-16 13:13:00,Cloud Access Security (CASB),Unsanctioned App Access,Low,Analyst_14,AST-00005,Closed,2032.6,False
ALT-108211,2026-04-16 13:13:00,SIEM,Brute Force Attempt,Low,Analyst_13,AST-00199,Closed,958.8,False
ALT-105903,2026-04-16 13:53:00,SIEM,Anomalous Login Pattern,High,Analyst_03,AST-00720,Closed,180.0,False
